#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
best_candidate_title_zun_cardinal;My Best Cardinal Candidate;;;;;;;;;;;;;x
expected_next_title_zun_cardinal;Expected Next Cardinal;;;;;;;;;;;;;x
ZUN_PREFERATI;Preferatus;;;;;;;;;;;;;x
ZUN_PREFERATI_TOOLTIP;The Preferatus is the Cardinal expected to succeed the Pope.;;;;;;;;;;;;;x
ZUN_HEAD_PRIEST;Pope;;;;;;;;;;;;;x
COLLEGE_OF_ZUN_CARDINALS;The College of Cardinals;;;;;;;;;;;;;x
best_candidate_title_jewish_cardinal;My Best Cardinal Candidate;;;;;;;;;;;;;x
expected_next_title_jewish_cardinal;Expected Next Cardinal;;;;;;;;;;;;;x
JEWISH_PREFERATI;Preferatus;;;;;;;;;;;;;x
JEWISH_PREFERATI_TOOLTIP;The Preferatus is the Cardinal expected to succeed the Pope.;;;;;;;;;;;;;x
JEWISH_HEAD_PRIEST;Pope;;;;;;;;;;;;;x
COLLEGE_OF_JEWISH_CARDINALS;The College of Cardinals;;;;;;;;;;;;;x
best_candidate_title_hellenic_cardinal;My Best Pontifex Candidate;;;;;;;;;;;;;x
expected_next_title_hellenic_cardinal;Expected Next Pontifex;;;;;;;;;;;;;x
HELLENIC_PREFERATI;Rex Sacrorum;;;;;;;;;;;;;x
HELLENIC_PREFERATI_TOOLTIP;The Rex Sacrorum is the Pontifex expected to succeed the Pontifex Maximus.;;;;;;;;;;;;;x
HELLENIC_HEAD_PRIEST;Pontifex Maximus;;;;;;;;;;;;;x
COLLEGE_OF_HELLENIC_CARDINALS;The College of Pontiffs;;;;;;;;;;;;;x
best_candidate_title_bon_cardinal;My Best Öndör Lama Candidate;;;;;;;;;;;;;x
expected_next_title_bon_cardinal;Expected Next Öndör Lama;;;;;;;;;;;;;x
BON_PREFERATI;Öndör Lama;;;;;;;;;;;;;x
BON_PREFERATI_TOOLTIP;This Öndör Lama is expected to succeed the current Dalai Lama.;;;;;;;;;;;;;x
BON_HEAD_PRIEST;Dalai Lama;;;;;;;;;;;;;x
COLLEGE_OF_BON_CARDINALS;The Öndör Lamas of Bön;;;;;;;;;;;;;x
